Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.8400,-0.0010600,0.0000448,0.00006770,0.00001140,-4.5563640594e+00,1.3494949043e-01,0.1273,2.3155560493e+00
-0.8390,-0.0010500,0.0000447,0.00006840,0.00001140,-4.5187873840e+00,1.3454544544e-01,0.1283,2.2779793739e+00
-0.8380,-0.0010500,0.0000448,0.00006900,0.00001140,-4.5212116241e+00,1.3494949043e-01,0.1293,2.2804036140e+00
-0.8370,-0.0010500,0.0000446,0.00006960,0.00001130,-4.5236358643e+00,1.3454546034e-01,0.1303,2.2828278542e+00
-0.8360,-0.0010500,0.0000447,0.00007030,0.00001130,-4.5264644623e+00,1.3494949043e-01,0.1313,2.2856564522e+00
-0.8350,-0.0010500,0.0000446,0.00007080,0.00001130,-4.5284843445e+00,1.3454546034e-01,0.1323,2.2876763344e+00
-0.8340,-0.0010500,0.0000445,0.00007130,0.00001120,-4.5305047035e+00,1.3454544544e-01,0.1333,2.2896966934e+00
-0.8330,-0.0010500,0.0000446,0.00007180,0.00001120,-4.5325250626e+00,1.3494949043e-01,0.1343,2.2917170525e+00
-0.8320,-0.0010400,0.0000444,0.00007230,0.00001120,-4.4941411018e+00,1.3414140046e-01,0.1353,2.2533330917e+00
-0.8310,-0.0010500,0.0000444,0.00007280,0.00001120,-4.5365653038e+00,1.3414140046e-01,0.1363,2.2957572937e+00
-0.8300,-0.0010500,0.0000444,0.00007320,0.00001120,-4.5381817818e+00,1.3414140046e-01,0.1373,2.2973737717e+00
-0.8290,-0.0010500,0.0000443,0.00007370,0.00001110,-4.5402016640e+00,1.3414140046e-01,0.1383,2.2993936539e+00
-0.8280,-0.0010500,0.0000443,0.00007420,0.00001110,-4.5422220230e+00,1.3414140046e-01,0.1393,2.3014140129e+00
-0.8270,-0.0010400,0.0000442,0.00007460,0.00001110,-4.5034341812e+00,1.3373737037e-01,0.1403,2.2626261711e+00
-0.8260,-0.0010500,0.0000442,0.00007520,0.00001100,-4.5462622643e+00,1.3414140046e-01,0.1413,2.3054542542e+00
-0.8250,-0.0010400,0.0000442,0.00007560,0.00001100,-4.5074748993e+00,1.3414140046e-01,0.1423,2.2666668892e+00
-0.8240,-0.0010400,0.0000441,0.00007600,0.00001100,-4.5090909004e+00,1.3373738527e-01,0.1433,2.2682828903e+00
-0.8230,-0.0010400,0.0000441,0.00007630,0.00001100,-4.5103030205e+00,1.3373738527e-01,0.1443,2.2694950104e+00
