Apr. 21, 2024   16:43:04
Linear Sweep Voltammetry
File: 2 cd-900-lsv-80ug-ir.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -0.9
Final E (V) = 0.2
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.234
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 36.8

Results:

Channel 1:
Ep = 0.199V
ip = 4.950e-5A
Ah = 5.596e-3C

Ep = -0.419V
ip = 7.519e-6A
Ah = 8.849e-5C

Current 2:

Ep = -0.419V
ip = 7.519e-6A
Ah = 8.849e-5C

Ep = 0.001V
ip = 1.695e-8A
Ah = 2.988e-9C

Potential/V, i1/A, i2/A
-0.660, -9.746e-4, 7.002e-5
-0.659, -9.748e-4, 7.004e-5
-0.658, -9.739e-4, 7.001e-5
-0.657, -9.737e-4, 7.006e-5
-0.656, -9.735e-4, 7.008e-5
-0.655, -9.745e-4, 7.025e-5
-0.654, -9.735e-4, 7.024e-5
-0.653, -9.727e-4, 7.026e-5
-0.652, -9.750e-4, 7.023e-5
-0.651, -9.755e-4, 7.040e-5
-0.650, -9.724e-4, 7.035e-5
-0.649, -9.745e-4, 7.036e-5
-0.648, -9.718e-4, 7.032e-5
-0.647, -9.723e-4, 7.041e-5
-0.646, -9.710e-4, 7.039e-5
-0.645, -9.717e-4, 7.041e-5
-0.644, -9.704e-4, 7.038e-5
-0.643, -9.707e-4, 7.045e-5
-0.642, -9.703e-4, 7.044e-5
-0.641, -9.707e-4, 7.059e-5
-0.640, -9.703e-4, 7.044e-5
-0.639, -9.704e-4, 7.059e-5
-0.638, -9.691e-4, 7.051e-5
-0.637, -9.693e-4, 7.058e-5
-0.636, -9.683e-4, 7.055e-5
-0.635, -9.660e-4, 7.059e-5
-0.634, -9.678e-4, 7.059e-5
-0.633, -9.661e-4, 7.059e-5
-0.632, -9.679e-4, 7.066e-5
-0.631, -9.472e-4, 7.058e-5
-0.630, -9.480e-4, 7.084e-5
-0.629, -9.558e-4, 7.066e-5
-0.628, -9.501e-4, 7.066e-5
-0.627, -9.571e-4, 7.057e-5
-0.626, -9.491e-4, 7.079e-5
-0.625, -9.547e-4, 7.073e-5
-0.624, -9.495e-4, 7.082e-5
-0.623, -9.520e-4, 7.083e-5
-0.622, -9.495e-4, 7.092e-5
-0.621, -9.526e-4, 7.096e-5
-0.620, -9.551e-4, 7.090e-5
-0.619, -9.589e-4, 7.110e-5
-0.618, -9.611e-4, 7.080e-5
-0.617, -9.645e-4, 7.112e-5
-0.616, -9.618e-4, 7.112e-5
-0.615, -9.646e-4, 7.098e-5
-0.614, -9.587e-4, 7.097e-5
-0.613, -9.601e-4, 7.112e-5
-0.612, -9.567e-4, 7.109e-5
-0.611, -9.571e-4, 7.107e-5
-0.610, -9.572e-4, 7.117e-5
-0.609, -9.558e-4, 7.119e-5
-0.608, -9.483e-4, 7.130e-5
-0.607, -9.538e-4, 7.130e-5
-0.606, -9.580e-4, 7.126e-5
-0.605, -9.808e-4, 7.149e-5
-0.604, -9.956e-4, 7.138e-5
-0.603, -9.736e-4, 7.132e-5
-0.602, -9.662e-4, 7.152e-5
-0.601, -9.597e-4, 7.142e-5
-0.600, -9.615e-4, 7.154e-5
-0.599, -9.570e-4, 7.156e-5
-0.598, -9.563e-4, 7.161e-5
-0.597, -9.565e-4, 7.160e-5
-0.596, -9.542e-4, 7.166e-5
-0.595, -9.533e-4, 7.162e-5
-0.594, -9.524e-4, 7.162e-5
-0.593, -9.517e-4, 7.166e-5
-0.592, -9.510e-4, 7.182e-5
-0.591, -9.497e-4, 7.179e-5
-0.590, -9.515e-4, 7.194e-5
-0.589, -9.493e-4, 7.195e-5
-0.588, -9.504e-4, 7.202e-5
-0.587, -9.523e-4, 7.210e-5
-0.586, -9.485e-4, 7.209e-5
-0.585, -9.510e-4, 7.218e-5
-0.584, -9.494e-4, 7.225e-5
-0.583, -9.484e-4, 7.238e-5
-0.582, -9.489e-4, 7.228e-5
-0.581, -9.506e-4, 7.235e-5
-0.580, -9.480e-4, 7.242e-5
-0.579, -9.476e-4, 7.241e-5
-0.578, -9.486e-4, 7.254e-5
-0.577, -9.452e-4, 7.254e-5
-0.576, -9.484e-4, 7.257e-5
-0.575, -9.453e-4, 7.253e-5
-0.574, -9.465e-4, 7.272e-5
-0.573, -9.444e-4, 7.271e-5
